,2h(-7),ma(-7),farn(-3),farn(-2.5),2h(-7)+ma(-7),2h(-7)+farn(-3),2h(-7)+farn(-2.5),ma(-7)+farn(-3),ma(-7)+farn(-2.5),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,2h(-7)+farn(-2.5)_predicted,ma(-7)+farn(-3)_predicted,ma(-7)+farn(-2.5)_predicted
271,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
272,False,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
273,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
274,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
275,False,False,False,True,False,False,False,False,False,False,20250324_3FLfun1,False,False,True,False,True
276,True,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,True,True,True,False,False
277,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
278,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
279,False,False,False,False,False,True,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
280,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
281,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
282,True,False,True,False,True,True,True,False,True,False,20250324_3FLfun1,True,True,True,True,False
283,False,False,True,False,False,False,False,False,False,False,20250324_3FLfun1,False,True,False,True,False
284,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
285,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
286,False,False,False,False,False,True,True,False,False,True,20250324_3FLfun1,False,False,False,False,False
287,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
288,False,False,False,False,False,True,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
289,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
290,True,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,True,True,True,False,False
291,False,False,False,False,False,False,True,False,False,False,20250324_3FLfun1,False,False,False,False,False
292,False,False,False,False,False,False,False,False,True,False,20250324_3FLfun1,False,False,False,False,False
293,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
294,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
295,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
296,False,False,False,False,False,False,False,False,False,False,20250324_3FLfun1,False,False,False,False,False
