,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
250,False,True,False,False,False,False,False,False,False,False,20250219_3FLfun1,True,True,False
251,True,True,False,True,False,True,True,False,False,False,20250219_3FLfun1,True,True,True
252,True,True,True,True,True,True,True,True,False,True,20250219_3FLfun1,True,True,True
253,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
254,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
255,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
256,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
257,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
258,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
259,True,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
260,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
261,False,True,False,True,False,False,False,False,False,False,20250219_3FLfun1,True,True,True
262,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
263,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
264,False,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
265,False,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
266,False,False,False,True,False,False,True,False,False,False,20250219_3FLfun1,True,False,True
267,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
268,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
269,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
270,False,False,False,False,False,True,False,True,False,False,20250219_3FLfun1,False,True,True
271,False,False,False,False,False,False,False,False,False,True,20250219_3FLfun1,False,False,False
272,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
273,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
274,False,False,False,False,False,True,False,False,False,False,20250219_3FLfun1,False,True,True
275,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
276,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
277,False,True,False,False,False,False,True,False,False,False,20250219_3FLfun1,True,True,False
278,False,True,False,False,False,False,False,False,False,True,20250219_3FLfun1,True,True,False
279,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
280,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
281,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
282,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
283,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
284,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
285,False,False,False,False,False,False,False,False,False,False,20250219_3FLfun1,False,False,False
286,False,True,False,False,False,False,True,True,False,False,20250219_3FLfun1,True,True,False
