,2h(-8),2h(-7),ma(-8),ma(-7),farn(-4),farn(-3),2h(-7)+ma(-7),2h(-7)+farn(-3),ma(-7)+farn(-3),PFO,experiment,2h(-7)+ma(-7)_predicted,2h(-7)+farn(-3)_predicted,ma(-7)+farn(-3)_predicted
262,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
263,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
264,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
265,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
266,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
267,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
268,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
269,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
270,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
271,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
272,False,False,False,False,True,True,False,False,False,False,20250219_3FRfun1,False,True,True
273,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
274,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
275,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
276,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
277,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
278,False,False,False,False,True,True,False,True,False,False,20250219_3FRfun1,False,True,True
279,False,False,False,False,False,False,True,True,False,False,20250219_3FRfun1,False,False,False
280,False,False,True,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
281,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
282,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
283,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
284,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
285,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
286,False,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
287,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
288,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
289,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
290,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
291,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
292,False,False,False,False,False,False,False,True,False,False,20250219_3FRfun1,False,False,False
293,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
294,True,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
295,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
296,True,True,True,True,True,True,False,True,False,False,20250219_3FRfun1,True,True,True
297,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
298,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
299,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
300,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
301,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
302,True,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
303,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
304,True,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
305,False,False,False,False,False,False,True,False,False,False,20250219_3FRfun1,False,False,False
306,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
307,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
308,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
309,False,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
310,False,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
311,False,True,False,False,False,False,False,False,False,False,20250219_3FRfun1,True,True,False
312,False,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
313,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
314,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
315,False,False,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,False,True
316,False,False,False,True,False,False,False,False,False,False,20250219_3FRfun1,True,False,True
317,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
318,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
319,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
320,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
321,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
322,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
323,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
324,False,True,False,False,False,False,True,False,False,False,20250219_3FRfun1,True,True,False
325,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
326,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
327,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
328,True,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
329,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
330,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
331,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
332,False,True,False,True,False,False,True,False,False,False,20250219_3FRfun1,True,True,True
333,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
334,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
335,False,True,False,False,False,False,True,True,False,False,20250219_3FRfun1,True,True,False
336,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
337,False,False,False,False,False,False,False,False,False,True,20250219_3FRfun1,False,False,False
338,True,True,False,False,False,True,True,True,False,False,20250219_3FRfun1,True,True,True
339,False,False,False,False,False,True,False,True,False,False,20250219_3FRfun1,False,True,True
340,False,False,False,False,False,False,False,False,False,False,20250219_3FRfun1,False,False,False
