bodyId_pre,bodyId_post,roi_pre,roi_post,x_pre,y_pre,z_pre,x_post,y_post,z_post,confidence_pre,confidence_post
425790257,953029783,CA(R),CA(R),12137,13985,11066,12137,13970,11089,0.964,0.80834
425790257,953029783,CA(R),CA(R),14734,13873,11127,14740,13851,11126,0.977,0.855692
425790257,953029783,CA(R),CA(R),13419,12047,11868,13423,12057,11844,0.95,0.919962
425790257,953029783,CA(R),CA(R),11803,12018,11859,11808,12045,11866,0.972,0.997942
425790257,953029783,CA(R),CA(R),13975,13197,11943,13975,13179,11931,0.972,0.704925
425790257,943118619,CA(R),CA(R),10088,13639,10924,10049,13633,10924,0.823,0.498056
425790257,943118619,CA(R),CA(R),10079,13372,10946,10060,13368,10938,0.724,0.974801
425790257,943118619,CA(R),CA(R),10084,13331,10948,10063,13345,10929,0.702,0.546159
425790257,941111195,CA(R),CA(R),17822,13024,13023,17841,13052,13024,0.996,0.4803291
425790257,941111195,CA(R),CA(R),16670,12540,12811,16663,12523,12850,0.875,0.45683485
425790257,941111195,CA(R),CA(R),15343,11022,13213,15319,11011,13196,0.874,0.703818
425790257,941111195,CA(R),CA(R),17647,14066,13911,17630,14057,13925,0.948,0.984765
425790257,941111195,CA(R),CA(R),17617,13664,13656,17635,13656,13668,0.931,0.995247
425790257,941111195,CA(R),CA(R),17499,12122,13986,17479,12138,13992,0.844,0.808357
425790257,941111195,CA(R),CA(R),16782,13073,14954,16797,13034,14962,0.938,0.627632
425790257,941102504,CA(R),CA(R),16431,13099,12377,16433,13082,12393,0.981,0.45053956
425790257,941102504,CA(R),CA(R),16230,13645,14779,16239,13614,14791,0.887,0.291799
425790257,941102504,CA(R),CA(R),16811,12930,14696,16793,12925,14696,0.93,0.993527
425790257,941102504,CA(R),CA(R),16396,13872,14130,16369,13877,14130,0.966,0.903329
425790257,941102504,CA(R),CA(R),17151,12971,12147,17134,12953,12134,0.934,0.905567
425790257,941102504,CA(R),CA(R),15840,13077,13709,15841,13053,13701,0.992,0.987773
425790257,941102504,CA(R),CA(R),16218,14550,13747,16215,14525,13757,0.963,0.84567
425790257,940761352,CA(R),CA(R),16998,12358,14228,17027,12337,14248,0.928,0.435377
425790257,940761352,CA(R),CA(R),15625,12657,12115,15617,12681,12105,0.937,0.803906
425790257,940761352,CA(R),CA(R),14792,12059,12934,14803,12070,12909,0.986,0.680712
425790257,940761352,CA(R),CA(R),14988,14066,11651,14980,14096,11669,0.976,0.543051
425790257,940761352,CA(R),CA(R),15325,13167,11843,15316,13180,11876,0.983,0.476125
425790257,940761352,CA(R),CA(R),15345,13200,11890,15328,13212,11894,0.968,0.911656
425790257,940761352,CA(R),CA(R),16566,11831,11549,16553,11824,11532,0.993,0.954084
425790257,940752707,CA(R),CA(R),16909,12498,12500,16914,12492,12489,0.989,0.874007
425790257,940752707,CA(R),CA(R),17395,12469,14249,17387,12471,14233,0.833,0.976421
425790257,940752707,CA(R),CA(R),16908,13417,12894,16921,13411,12908,0.991,0.942881
425790257,940752707,CA(R),CA(R),16820,12599,13071,16820,12612,13081,0.883,0.877669
425790257,940752707,CA(R),CA(R),17235,11881,12633,17245,11881,12628,0.975,0.999989
425790257,940752707,CA(R),CA(R),17190,11899,12613,17223,11904,12614,0.874,0.982766
425790257,940752707,CA(R),CA(R),15803,12928,13840,15801,12920,13828,0.95,0.861476
