,2h(-7),2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO,PFO
10,0.062170506,-0.3770023,-0.31787455,0.05499226,-0.07198018,0.086562365,0.20299652,-0.13527876,-0.2209943,0.3809025,-0.5604893,-0.105205536,-0.47989154,-0.12327266,0.33025512,-0.20171249,0.69369376,-0.44651824,-0.29675433,-0.09265727,0.26941738,-0.3790964,-0.04843259,-0.14317143,0.47216776,0.8830897,0.51111096,0.03698474,0.043879848,-0.21033336,0.05443096,0.005960673,0.63897204,0.71318936,0.48064527,0.010089815,0.30702746,0.005143851,-0.07290318,0.17597508
11,0.9984774,1.5657985,-0.32686603,0.112546384,0.15612069,-0.3807235,0.16094518,-0.30919516,0.16286351,-0.30890155,0.5037115,0.23095042,1.1586792,-0.04433316,0.8989457,-0.20509678,1.6402762,1.2016994,0.60654426,0.7341471,0.61143416,0.4561404,0.31847158,0.27259123,-0.12528832,0.3771175,0.102889955,0.17076606,0.6836139,0.28865874,0.5812035,-0.2962008,0.7295482,0.30767414,0.036497265,0.013691843,-0.026575133,0.70613503,0.1658181,-0.05431521
12,-0.60617274,-0.15053615,0.18823285,0.10896173,0.2504528,0.15048802,-0.054597676,0.03831616,-0.35072085,0.003338024,-0.2554437,0.37062824,0.2539578,-0.30619022,-0.099302396,0.14420536,0.30275872,0.94427794,0.20721163,0.42137986,-0.0794388,-0.032482795,-0.621076,-0.19619873,-0.29520473,-0.31162965,-0.2119556,-0.47401586,0.99585766,0.14701116,-0.17578077,0.028057635,-0.55898035,-0.47566906,-0.27540562,-0.34104615,0.55297375,0.9034718,-0.3442697,-0.10011554
13,0.3828274,-0.10001013,-0.050219774,0.20696288,0.019497186,0.29802835,-0.027064115,-0.12116587,0.89851135,0.82606024,-0.006945461,0.083405316,0.1068283,-0.08295287,0.23294908,0.18788293,-0.4596573,-0.3647008,-0.24611053,-0.21783341,-0.2090556,0.10448378,-0.09048858,0.24861878,2.3898945,0.0847493,0.4638042,0.16184586,-0.5277654,-0.13965777,-0.1118636,-0.1340751,0.39476907,0.64225715,0.14054248,-0.18238896,-0.097040534,0.21982908,-0.2678663,0.02829063
14,-0.04492832,0.15478292,0.06265181,0.025783628,0.022477612,0.73046064,-0.21503228,-0.07223219,0.03615932,-1.0651705,0.03092727,0.029449135,0.11418651,-0.05346279,0.0042671263,0.04805991,0.0939021,0.040815637,-0.08424398,-0.0022450984,-0.14745995,0.051552296,0.019278347,-0.057965755,0.16762972,1.1604024,0.14407459,0.06852999,0.4697703,-0.17246222,0.07135159,0.19124988,0.5363158,0.4819693,0.19012976,0.15161677,0.21815251,0.04570073,-0.021834165,-0.07569525
15,0.5917772,0.46439838,0.89947665,0.42960554,-0.07324782,-0.4677961,0.008103579,-0.07198936,0.5620181,0.2941886,0.31918183,0.7250972,4.209385,2.9275413,2.7542226,2.5588536,-0.10764992,-0.08611816,-0.13844675,-0.35252225,0.9827504,1.0886266,0.36971724,0.45358032,0.32372248,0.036813974,-0.23212653,0.07011089,-0.29874638,-0.10407436,-0.42203325,-0.1506502,-0.1769844,-0.16777676,0.012315154,-0.18572865,0.034147263,0.18081605,-0.042148948,0.05919689
16,0.5592145,0.8862157,0.5366936,0.1911115,0.19943526,0.0859479,0.12535483,0.11293852,1.4037248,1.3506807,0.5551037,0.11256462,0.7294691,0.53682554,0.12598443,0.10438812,-0.31127554,-0.04885199,-0.25237137,-0.20009261,0.07874909,0.0888022,-0.33995,0.11521411,0.83743477,0.09076738,0.3968699,0.079105735,0.37922156,-0.23459607,-0.0659135,-0.13741821,0.036789775,0.08105633,0.4305771,-0.017914891,0.0066537857,-0.040876977,-0.27653134,-0.059991956
17,0.20485462,0.3261101,0.043614507,0.16616619,0.32057592,-0.33506495,-0.09971911,0.104988635,0.1947551,0.25043803,0.36661863,0.34319463,1.0539907,-0.2360282,-0.012494177,0.011647463,-0.8648968,0.32714987,-0.30267373,0.34076518,-0.09313586,0.0129874945,-0.021662354,0.07485789,-0.18347642,-0.016622365,-0.057241738,0.15216672,-0.16516647,0.037614673,0.25722826,0.039074153,-0.6859263,-0.49646547,0.33604768,0.0007555187,-0.1500656,-0.28125608,-0.39232162,0.011961043
18,0.10126151,0.13406822,0.27569187,0.030898392,0.46497986,-0.17290872,-0.3032198,-0.0021113753,-0.4321482,0.011800781,-0.2624556,-0.07634157,-0.36919475,-0.4073012,-0.11277132,-0.3448814,-0.10671505,0.068585366,0.25510502,0.00083231926,-0.18526709,-0.17110673,-0.10305813,-0.21284321,0.07659091,0.4498129,0.3248055,0.07093531,0.30237702,0.33316398,-0.09669396,-0.025354266,0.37920535,0.4004557,0.3929455,0.014641792,1.5521191,-0.01480943,0.090450704,-0.016272962
19,-0.277946,-0.08719623,-0.34888166,0.34425393,0.29962415,-0.5620894,0.22280622,0.3997172,0.950037,-0.11030571,0.1068961,0.6057023,0.2837776,-0.014180899,0.118516214,0.16047281,-0.5593444,-0.019290954,-0.55644506,-0.19687831,-0.06786662,0.23881269,-0.34414458,-0.1761356,0.24642658,0.085584044,-0.2851225,-0.30253005,-0.51638365,-0.054127358,0.28753442,-0.09588385,-0.059103012,-0.34798315,0.01433295,0.060367823,-0.40242845,0.015662014,-0.046551958,-0.002673149
