,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),Iaa(-2),Iaa(-2),Iaa(-2),banana,banana,banana,Bmix28,Bmix28,Bmix28,PFO,PFO,PFO
20,-0.17907023,0.23599067,0.33049232,-0.04987818,-0.041939586,0.08992034,0.004669547,0.022269845,-0.27026772,0.10131335,0.16166893,0.027371824,0.054513812,-0.42125463,-0.59549785,0.08500779,-0.41022965,-0.021236613,-0.20312816,-0.27589875,0.048519015,-0.122133374,0.1521117,0.26896667,0.053890288,0.14992228,-0.5133686,-0.054865956,-0.18294464,-0.28869238,-0.252052,-0.17710955,-0.04163444,0.14261562,0.18776318,0.19577889,0.13769817,0.91367155,0.5377419,0.71989715,1.4993877,0.99816346,-0.14213598,0.06470333,-0.3997574
21,-0.4674106,-0.05351144,0.00831271,-0.02610147,-0.49469763,0.10946393,-0.105311275,-0.09422636,-0.43664414,-0.11868262,-0.8522431,-0.3666268,-0.23257113,-0.61151505,-0.4310593,0.12988353,0.27735794,0.22216853,-0.38507187,-0.31254512,-0.67794126,0.50901115,0.13440466,-0.22950137,0.92156816,-0.049628913,0.55235887,0.0017846823,0.5591359,-0.047949553,-0.06420696,-0.086564064,1.2884257,-0.4041169,0.11164063,-0.73281395,0.061279118,0.2957642,-1.2467844,0.25010866,0.13284281,-0.59184206,-0.0746128,0.87457407,-0.43068707
22,-0.07283497,0.1233546,0.10661405,-0.013411999,-0.01930511,0.117577314,-0.043333888,0.1189788,-0.13875282,0.076144695,0.45327583,0.04483795,0.42837706,0.16337252,-0.07056391,-0.06742358,-0.033102497,-0.10085398,0.07601857,-0.13912535,0.047542512,-0.15775639,0.28636175,0.24716935,0.19786096,0.013731316,-0.25245488,0.029078245,-0.2193712,0.08540648,-0.006567076,-0.32147768,-0.016428888,-0.05391693,-0.30899316,-0.04945898,3.3031445,1.0457633,0.8113177,0.92018807,0.16643995,-0.040483683,0.14054674,-0.38595194,-0.00013703853
23,-0.14101541,0.15607011,-0.13340491,-0.18221217,-0.023383021,0.1413391,-0.06212896,0.4144689,-0.1512497,-0.06700307,-0.2622987,-0.0022572875,0.03641671,-0.7777274,0.009123206,0.271993,-0.54882354,-0.30373937,-0.6126774,0.0037314296,0.014820039,0.016256928,0.35255796,-0.01467815,0.3106711,0.40935177,1.0027475,0.38919306,0.3692639,-0.050864697,0.34471917,0.7605927,0.30682033,0.4756568,0.9157395,1.442208,0.9720582,0.53460324,0.3117463,1.3380464,2.3797498,1.6675525,-0.13438822,-0.19045475,0.0022171363
24,-0.1979717,-0.043982282,0.33586693,0.088288665,-0.24992073,0.59758854,-0.14584064,-0.021383703,-0.42643747,0.07044512,-0.21723744,0.25471336,0.15103805,0.18689215,0.33930898,0.251222,0.08237362,0.19893551,-0.07059631,0.22437698,-0.22612476,0.020714939,0.29044017,-0.042681873,-0.0072839856,0.142625,0.23763174,0.040681005,-0.22292769,0.0035920143,0.030548692,0.032904744,0.26128826,-0.18495625,0.094168216,-0.028392434,0.043160006,-0.32130244,-0.899457,-0.06990427,-0.20033973,-0.14644125,-0.0125422925,0.08801369,-1.4089707
25,0.32105517,0.77627206,-0.47618052,-0.27127677,0.76746887,-0.86828464,0.3659138,-0.19080892,1.5563844,0.014225841,0.6142154,0.55942863,-0.51096904,0.14340246,0.06774947,0.6141553,-0.8431295,0.52082115,0.580562,1.2560138,0.72260666,0.28373808,0.2701751,0.09250508,-0.54037404,0.67408925,-0.25543052,-0.18843663,0.35320723,-0.21791878,0.021870375,-0.7600912,-0.4004714,-0.6033701,2.3364818,0.32913554,-0.08297622,1.4788395,-0.31536335,-0.08259997,-0.3247621,-0.49622872,0.01029636,-0.56505436,0.03281629
26,0.17505676,-0.13837647,-0.20443428,0.3624093,2.016702,0.019934803,0.14313798,-0.11874378,0.1592192,0.025169142,0.3675639,-0.14190269,-0.3570963,-0.8903083,-0.18353397,-0.060613096,0.026066065,0.025180884,0.19517457,-0.19930065,0.036242247,-0.19218779,0.10121536,-0.4258011,0.057912067,-0.26540536,-0.33840385,-0.08441305,0.2639526,-0.16219778,0.3279372,0.09586504,0.10538024,0.14529154,0.056405544,-0.2828402,-0.45011967,-0.20032424,-0.57080716,-0.26791516,-1.1727701,-0.19750977,0.704255,0.34490228,0.26371777
27,-0.010793328,0.032951653,0.27186432,0.22564387,0.22303718,-0.3437939,0.02239424,-0.24205256,0.3868655,0.46842706,0.05411783,0.050763845,-0.108029634,0.28230852,-0.31278607,0.037157685,-0.1542409,-0.38634762,-0.5225756,0.07418549,0.030268371,0.21818268,0.15045893,0.56806785,-0.34597582,-0.1467033,0.14458764,-0.045776583,0.021278143,0.5072068,0.3316743,-0.06636204,-0.17739397,-0.19732326,-0.20986724,0.25706875,-0.009560168,-0.3073731,-0.06859124,-0.24516141,-0.28366268,-0.057229564,0.23054844,0.047923446,0.042743802
28,-0.12290874,0.086791754,-0.046125554,-0.05096668,-0.05130428,-0.09748625,-0.084907055,-0.0464918,-0.29576507,-0.0134320855,-0.5017412,-0.1175016,0.019048154,-0.13945597,-0.123100996,0.3235518,0.7910726,1.907201,-0.12865788,-0.070778474,0.23581009,-0.04178983,0.35134143,0.18880701,0.63106763,1.6645544,1.652328,0.07070708,0.027381033,-0.034578174,1.1699499,1.6230851,3.5289323,-0.12317741,0.06787324,-0.2509108,0.047443807,0.10546425,-0.535746,-0.23635018,0.28425455,-0.049544226,0.013233483,0.6160921,-1.007518
29,0.6158823,0.6392563,0.24486291,1.5696808,0.28980547,0.38905114,-0.075531304,-0.57758,0.17487764,0.7542242,0.45395532,1.2906137,0.5336957,0.83135915,1.0413587,-0.1761921,-0.2819263,-0.17511034,0.037886202,0.45460606,-0.2862668,0.6125533,0.61233,-0.1793195,0.07639995,0.11878346,-0.26117635,-0.16971755,-0.41498023,0.39083156,0.22063705,-0.16663516,-0.9557401,-0.3139205,-0.29148504,-0.18320644,-0.11493486,-0.4828002,-0.57136,0.01564461,-0.6857589,-0.71021247,-0.014650464,-0.18234357,0.27934533
