,2h(-7),2h(-7),2h(-7),ma(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),1o3ol(-5),1o3ol(-5),1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),2h(-7)+1o3ol(-5),ea(-7),ea(-7),ea(-7),eb(-7),eb(-7),eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-7)+eb(-7),ea(-5),ea(-5),ea(-5),eb(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,PFO
14,-0.24030179,-0.5522756,-0.07943806,-0.09511536,-0.36371404,-0.40070426,-0.07547229,0.15152878,-0.26230246,-0.11452155,0.10114831,-0.21128392,-0.27955374,-0.30933952,-0.52001834,0.53510505,0.30649358,0.2246956,-0.47867814,-0.04588093,0.0053820796,0.13997978,0.10801599,-0.13510203,0.84986025,0.36694813,1.0240271,0.5938839,0.31533226,1.0381094,0.84487015,1.7615242,3.2317963,-0.35464877,-0.5402936,-0.029943168
15,0.13470024,-0.011860013,-0.1928761,0.6301708,0.2734714,0.16212377,0.27077973,-0.28116953,-0.5504998,0.0020407885,0.20483127,0.2894508,0.41521412,0.13522962,0.1856102,0.047115862,-0.282444,-0.20590402,-0.41972008,0.060165644,-0.032344997,-0.07022243,0.7333701,0.3419555,-0.3431462,0.103748515,-0.07330185,0.25997117,0.072735794,-0.07688404,-0.1708003,-0.008010089,-0.56986666,0.17240383,1.0226831,3.08612
16,0.06841236,-0.24370728,-0.37659943,-0.15889734,0.18268806,-0.04726994,0.03999132,0.34442478,0.055260718,0.06754285,-0.047751486,0.18898255,-0.14991182,-0.26186085,-0.09846997,0.030283272,0.15195704,-0.05240576,0.02477473,-0.4137352,0.056197733,-0.14850807,-0.009214282,0.40889996,-0.21457595,-0.42944407,-0.00723505,-0.1323142,-0.0062002838,0.4890456,-0.26217413,-0.48169738,0.3484731,-0.121317565,-0.41280866,-0.82124215
17,-0.23481548,-0.32501227,-0.31368315,1.6214638,1.8784736,3.85749,1.2033522,0.84803885,0.93872243,0.0555501,0.20566475,-0.061149016,0.19698817,0.42851514,-0.21776336,0.084028125,0.16188475,-0.25074437,-0.07455778,0.023833632,0.75472045,-0.14266008,0.7064328,0.27811092,-0.2973079,0.14365286,0.4765849,-0.2641065,1.0356,-0.52414525,0.016051054,-0.084711194,-0.039328486,-0.08458371,-0.17478955,0.428412
18,0.28173283,-0.019249678,0.27038652,-0.055280924,0.006294489,0.23855507,-0.11057329,0.16811341,-0.6431323,-0.08630139,0.17070407,0.0069693923,0.202654,-0.10198425,0.42097452,-0.5655727,0.019239772,0.0019743443,0.073771656,-0.63853526,-0.0449937,0.019092917,0.063150585,0.0035064518,0.24134576,-0.12220609,-0.29670644,-0.3420852,-0.7155331,0.11918193,-0.026026785,-0.17442845,0.003813386,-0.46486923,-0.30833524,-0.054107726
19,-0.38415086,0.2317266,0.13939588,-0.36525327,-0.14147274,-0.24338567,-0.11308801,0.18657538,0.06314042,0.15515459,0.13775647,-0.2150639,0.19723324,-0.010215018,-0.17725107,-0.027511999,-0.102771886,0.5510186,-0.23587726,0.43817663,-0.33196062,0.22583178,0.13636975,0.090646744,0.17438704,0.037011504,-0.07483083,0.36310652,-0.11674489,-0.10087037,0.48439702,0.5437716,0.8174407,-0.53708196,0.1989615,0.23357147
20,0.16450399,0.15222307,-0.26915747,0.02305299,-0.374302,0.13242167,0.18195617,0.17592704,0.18688059,0.27575147,0.13604414,-0.17299879,0.15562199,0.021172523,-0.1705844,0.27532282,0.31271103,1.8962511,-0.1030235,0.17786674,-0.17615147,1.0342185,0.9305887,0.055345,2.4050465,3.6718209,3.553225,-0.015045822,0.037704945,0.47876212,0.57205284,0.71101105,1.3892664,-0.060116768,-0.37659174,0.15746856
21,0.058594227,0.023032814,0.1263429,0.024928927,0.24859656,0.015254881,-0.091881156,-0.07019687,-0.16923124,-0.12590092,0.10018301,-0.08430126,-0.5157667,0.07672955,-0.8447244,0.29372153,0.21110976,0.67649645,-0.2563842,0.0425615,0.03034684,0.7346678,-0.3470953,-0.025406897,2.263153,1.8823463,1.8466957,0.6982943,0.058214284,0.39670625,0.95227134,2.8965704,3.8667476,-0.0015957952,0.19546086,0.35495576
22,3.9821677,2.9643798,1.9201782,0.07305795,0.13627815,0.6655756,3.0704315,2.358301,1.9122353,0.9841628,0.70965785,0.46919698,2.620316,0.96013623,0.98346335,0.1963448,0.52831465,-0.0013800263,0.45639715,0.07786363,0.15175,0.8141413,0.8470258,0.6245611,1.9502242,-0.16675025,0.073518366,0.052134395,0.0071299076,-0.28147352,0.11175901,0.3983762,1.0871603,1.399385,1.7464204,0.061149
23,-0.29591736,0.24744263,0.103013664,0.029359937,0.09227937,0.018161774,0.13939074,-0.6274996,-0.595957,0.119466335,0.026682742,0.14272797,1.1323645,0.2467638,0.16253963,-0.3025351,-0.581025,-0.43725675,0.12713951,0.45197782,-0.45135415,-0.20134449,0.28878114,-0.18355578,-0.16632658,-0.4497056,0.65026665,0.14303887,-0.025392205,0.1266076,-0.21511865,-0.053234965,-0.83921325,-0.62325025,0.0033587217,0.09946841
