,2h(-7),2h(-7),ma(-7),ma(-7),2h(-7)+ma(-7),2h(-7)+ma(-7),2h(-5),2h(-5),1o3ol(-5),1o3ol(-5),2h(-5)+1o3ol(-5),2h(-5)+1o3ol(-5),ea(-5),ea(-5),eb(-5),eb(-5),ea(-5)+eb(-5),ea(-5)+eb(-5),PFO,PFO,air,air
36,0.09818864,0.7458669,-0.09346533,-0.120836735,-0.38122976,-0.31059813,-0.008306503,-0.18715589,-0.16180272,0.18236339,0.00032305717,-0.08052963,0.26417398,0.31602544,0.2920602,0.012291968,0.7657224,0.69926816,0.07783988,0.23182368,-0.049903393,0.11125374
37,0.14935553,0.033884764,0.038775384,0.015727222,0.0050086975,-0.06715226,-0.07118112,-0.08189881,-0.110248685,0.0011677742,-0.14341664,-0.27696437,-0.09555173,-0.110609055,0.037129045,-0.38209534,0.25628817,0.0639236,-0.059386194,0.064321995,-0.049402356,0.10308951
38,0.086866915,-0.051001668,-0.00045716763,0.13890891,0.061763525,0.4165004,-0.004287064,0.1213513,0.06283891,0.049450397,-0.100363195,0.050956905,-0.012893856,0.0693306,-0.016038358,-0.12811571,0.07548612,0.5696809,-0.11706501,0.02521789,-0.099448025,-0.16974439
39,0.025267184,-0.21231627,0.01565808,0.04482627,0.16411209,0.07278979,0.30894223,0.5324898,0.070738554,0.05675721,0.53742474,0.74748266,0.0015457273,-0.014353663,-0.05328688,0.26084077,0.004908532,-0.02584213,0.031727016,-0.3835404,-0.008992672,-0.13132198
40,-0.057355165,-0.14596987,0.9107288,1.932173,2.1257555,1.6945047,0.05925876,1.4467884,-0.037753344,0.59509313,0.11126906,-0.17606154,0.5775563,0.9819164,0.2197569,-0.20966977,0.49267614,0.6110644,0.08649139,0.08686819,0.9387932,-0.26753494
41,0.18590784,-0.22219273,0.24670702,0.27568722,0.20904183,-0.016074032,0.44340062,0.39306054,-0.21741515,-0.016513854,0.00793457,0.0020810142,-0.096648216,0.16693781,0.5437524,2.0427105,-0.093043625,0.30461892,-0.1922507,-0.10099903,0.5899845,-0.25794223
42,0.00093877316,-0.49454498,-0.0080727935,-0.030475795,0.014639169,-0.020006329,0.025583565,0.30125147,-0.0025430918,0.08457613,0.026019096,0.07184532,0.0764451,0.01813513,-0.011144668,0.24605179,0.19564101,-0.078518905,-0.01927656,-0.11570257,-0.004532099,0.017003119
43,0.14693618,1.3326042,-0.040890574,-0.101579964,0.3761238,0.4571965,0.8983221,2.197026,-0.0063762665,0.10815102,0.45036292,0.66543555,0.0268327,-0.006206006,-0.1039868,-0.2318502,0.033336878,-0.055970557,-0.068133354,0.13758278,-0.12211266,-0.015674105
44,-0.058801115,-0.045357823,0.043639056,-0.08440846,-0.3622706,-0.0143741965,0.11451876,-0.14985871,-0.5215609,-0.32932216,-0.047700018,0.04697138,-0.21857116,-0.12196171,-0.03746265,-0.09891842,0.4429388,-0.07044399,0.10921569,0.07129419,-0.23360676,0.21574074
45,-0.027924696,0.051467493,0.071180165,0.2476685,0.086097,-0.04136002,0.14802462,0.3070079,0.9998816,-0.16449842,0.88502216,2.2754812,0.18969154,-0.030468106,-0.005229667,-0.013088583,0.2364369,-0.18649402,-0.05952269,0.16872384,-0.03178656,-0.86092806
46,0.31087136,0.32068175,0.17527863,1.1282827,-0.3383567,-0.63580453,0.06109023,-0.11394018,-0.2565598,-0.26588786,-0.28376478,-0.24967596,-0.17007989,0.097068414,0.28539243,0.37006992,0.1346466,0.4199708,-0.027617743,0.2182558,0.42202097,0.37168518
47,-0.038047552,0.101166725,-0.12916261,0.0011542514,0.0056307316,0.23174329,-0.0045547485,0.4602132,0.24529645,-0.39796007,0.19124314,0.11773652,0.15737873,-0.063596755,0.00755617,-0.23738563,0.084074676,-0.38010526,-0.0034673214,2.1546206,0.05272734,0.06002804
48,0.3260312,-0.08310062,0.5986118,0.014368743,-0.06308448,-0.336463,-0.29294848,0.38476986,-0.08534485,-0.22692636,-0.09751701,0.08875748,-0.19635922,-0.11666857,-0.12985814,-0.4894998,-0.17441463,0.039911956,0.074502945,-0.02218622,-0.8551942,0.2070298
49,0.122790515,0.9346308,-0.04129225,-0.027180493,0.021052748,1.0271121,0.54697174,0.86196375,-0.0460276,-0.14040199,0.09216827,0.1817521,0.18281263,0.7457546,0.084141135,-0.25545645,-0.09218031,-0.94963455,0.0792228,-0.011563748,-0.16183263,-0.009306774
50,-0.23671138,0.105810165,0.6150031,0.3193286,-0.47250295,0.17906451,-0.20522618,-0.057365775,-0.15270042,0.12716758,-0.24759318,-0.462011,0.09290711,-0.17493147,0.10719395,0.03128954,0.12107253,-0.17846316,-0.16115117,0.3745197,0.0655866,0.25262797
51,0.105629325,-0.06610912,-0.3127247,-0.123886704,0.17438847,0.35528484,0.46812618,0.21429482,0.99001515,-0.15062594,-0.43235886,-0.37055033,0.15873414,0.39621535,0.5483331,-0.6055922,-0.29065156,-0.15725154,0.06695079,-0.33012652,0.3578452,0.21905005
