fly_id,odor,glomerulus,delta_f_over_f,to-avg-max_scaled_delta_f_over_f (X_train),hallem_delta_spike_rate (y_train),date,fly_num
1,1-8ol @ -3,VM3,0.0888754356697508,0.10241629269586701,20,2023-04-22,2
1,1-5ol @ -3,VM3,0.2669770381267289,0.30765304579169533,160,2023-04-22,2
1,1-6ol @ -3,VM3,0.36664002071400886,0.4225004512494894,102,2023-04-22,2
1,benz @ -3,VM3,0.03501560316876388,0.04035049995569271,57,2023-04-22,2
1,ms @ -3,VM5d,0.08196520001580838,0.09445322942649101,-8,2023-04-22,2
1,ms @ -3,VM5d,0.2984528026441209,0.34392438541829345,-8,2023-04-22,2
1,a-terp @ -3,VM5d,0.38930158259856595,0.44861467659673276,51,2023-04-22,2
1,carene @ -3,VM5d,0.11291258686748072,0.13011568898112655,16,2023-04-22,2
1,2h @ -3,VM5d,0.5942483140359317,0.6847866207990216,190,2023-04-22,2
1,IaA @ -3,VM5d,1.568223800492062,1.8071547728962072,231,2023-04-22,2
1,pa @ -3,VM5d,1.6725257406822651,1.927347916870886,190,2023-04-22,2
1,2-but @ -3,VM5d,-0.18800124418316433,-0.21664468147303217,39,2023-04-22,2
1,eb @ -3,VM5d,0.1985907996704206,0.22884763728561439,102,2023-04-22,2
1,ep @ -3,VM5d,-0.07231408590574924,-0.08333169376156435,57,2023-04-22,2
1,B-cit @ -3,VM5d,0.29157622177663295,0.33600010450125317,41,2023-04-22,2
1,Lin @ -3,VM5d,0.3784815677651922,0.436146149181957,51,2023-04-22,2
1,6al @ -3,VM5d,0.9138116374936706,1.0530378774423814,224,2023-04-22,2
1,t2h @ -3,VM5d,0.5641661569319283,0.6501212154069751,145,2023-04-22,2
1,1-8ol @ -3,VM5d,0.5827337656299946,0.6715177422735173,56,2023-04-22,2
1,1-5ol @ -3,VM5d,-0.2938446398372667,-0.3386141335217999,169,2023-04-22,2
1,1-6ol @ -3,VM5d,1.1228783768162394,1.2939575444580713,183,2023-04-22,2
1,benz @ -3,VM5d,0.33635036365904725,0.3875959316910641,37,2023-04-22,2
1,ms @ -3,VM5v,0.03846869226667823,0.044329693768829434,8,2023-04-22,2
1,ms @ -3,VM5v,-0.03484247480825301,-0.040150994156250855,8,2023-04-22,2
1,a-terp @ -3,VM5v,0.4086545860660093,0.47091625917384533,11,2023-04-22,2
1,carene @ -3,VM5v,0.021180763181526462,0.024407815558640064,-7,2023-04-22,2
1,2h @ -3,VM5v,1.1628376485645682,1.3400049189710654,189,2023-04-22,2
1,IaA @ -3,VM5v,1.3779944151780013,1.5879424758327711,248,2023-04-22,2
1,pa @ -3,VM5v,0.8768104575143078,1.0103992827586914,191,2023-04-22,2
1,2-but @ -3,VM5v,-0.06890912192114473,-0.0794079572933466,4,2023-04-22,2
1,eb @ -3,VM5v,0.5240645557447053,0.6039098264690369,81,2023-04-22,2
1,ep @ -3,VM5v,0.2883939016672365,0.33233293341714204,41,2023-04-22,2
1,B-cit @ -3,VM5v,0.32879632494993283,0.37889097701333546,50,2023-04-22,2
1,Lin @ -3,VM5v,0.6461485110492348,0.7445942124944257,140,2023-04-22,2
1,6al @ -3,VM5v,0.029614080706283612,0.03412601395062478,29,2023-04-22,2
1,t2h @ -3,VM5v,0.1733752357287822,0.1997902880003253,28,2023-04-22,2
1,1-8ol @ -3,VM5v,0.4055935240633972,0.46738882080285776,24,2023-04-22,2
1,1-5ol @ -3,VM5v,0.6719632045695615,0.774341973363425,75,2023-04-22,2
1,1-6ol @ -3,VM5v,0.8174416803772525,0.9419852152444904,158,2023-04-22,2
1,benz @ -3,VM5v,0.5298947734004145,0.6106283226812692,30,2023-04-22,2
2,ms @ -3,DC1,0.0835051611805782,0.16397464912071136,1,2023-04-22,3
2,ms @ -3,DC1,-0.15510752172838224,-0.304576400929216,1,2023-04-22,3
2,a-terp @ -3,DC1,0.23992457331086317,0.47112713954302643,85,2023-04-22,3
2,carene @ -3,DC1,0.10071139825067006,0.19776162284027463,123,2023-04-22,3
2,2h @ -3,DC1,0.10083229334454817,0.19799901811403753,131,2023-04-22,3
2,IaA @ -3,DC1,0.14973528561167668,0.2940272262461631,81,2023-04-22,3
2,pa @ -3,DC1,-0.04036070075833246,-0.07925416407258971,130,2023-04-22,3
2,2-but @ -3,DC1,-0.050898480799125935,-0.09994664295977772,-16,2023-04-22,3
2,eb @ -3,DC1,-0.0678791533613866,-0.1332906876375573,73,2023-04-22,3
2,ep @ -3,DC1,-0.11486994962841741,-0.22556401806232781,-13,2023-04-22,3
2,B-cit @ -3,DC1,0.029226019086038196,0.057389581159720406,18,2023-04-22,3
2,Lin @ -3,DC1,0.029976988374552815,0.05886421965922976,125,2023-04-22,3
2,6al @ -3,DC1,0.1551438642804885,0.3046477648682292,-29,2023-04-22,3
2,t2h @ -3,DC1,-0.030837502633754427,-0.060553965798523145,58,2023-04-22,3
2,1-8ol @ -3,DC1,0.08984413991199978,0.17642216492180965,92,2023-04-22,3
2,1-5ol @ -3,DC1,-0.07600895032701029,-0.14925473807484713,84,2023-04-22,3
2,1-6ol @ -3,DC1,-0.0662733098935963,-0.1301373781240976,146,2023-04-22,3
2,benz @ -3,DC1,-0.07865055014403348,-0.1544419073107345,-15,2023-04-22,3
2,ms @ -3,DL1,0.3642662041074812,0.715290194768822,258,2023-04-22,3
2,ms @ -3,DL1,0.4070700331771504,0.799341800124616,258,2023-04-22,3
2,a-terp @ -3,DL1,-0.03136109964997171,-0.061582125445197165,-10,2023-04-22,3
2,carene @ -3,DL1,0.015891016328747228,0.031204344615813596,-12,2023-04-22,3
2,2h @ -3,DL1,0.11045717308810539,0.21689888318184972,17,2023-04-22,3
2,IaA @ -3,DL1,0.5383038105433439,1.0570385974503846,208,2023-04-22,3
2,pa @ -3,DL1,0.07872897803486265,0.15459591199377656,-1,2023-04-22,3
