olfactometer_name	olfactometer_abbrev	cid	MolecularWeight	CanonicalSMILES	IsomericSMILES	InChI	InChIKey	IUPACName	name
1-octanol	1-8ol	101614896	131.23	CCCCCCCCO	[2H]OCCCCCCCC	InChI=1S/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3/i9D	KBPLFHHGFOOTCA-QOWOAITPSA-N	1-deuteriooxyoctane	d1-octanol
2-butanone	2-but	6569	72.11	CCC(=O)C	CCC(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	ZWEHNKRNPOVVGH-UHFFFAOYSA-N	butan-2-one	2-butanone
2-butanone	2-but	11600664	73.11	CCC(=O)C	CCC(=[17O])C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i5+1	ZWEHNKRNPOVVGH-HOSYLAQJSA-N	butan-2-(17O)one	butan-2-(17O)one
2-butanone	2-but	11679805	74.11	CCC(=O)C	CCC(=[18O])C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i5+2	ZWEHNKRNPOVVGH-RHRFEJLCSA-N	butan-2-(18O)one	butan-2-(18O)one
2-butanone	2-but	12200356	73.11	CCC(=O)C	[2H]C(C)C(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i3D	ZWEHNKRNPOVVGH-WFVSFCRTSA-N	3-deuteriobutan-2-one	3-deuteriobutan-2-one
2-butanone	2-but	12200359	75.12	CCC(=O)C	[2H]C([2H])([2H])CC(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i1D3	ZWEHNKRNPOVVGH-FIBGUPNXSA-N	4,4,4-trideuteriobutan-2-one	2-butanone-4,4,4-d3
2-butanone	2-but	12200360	73.11	CCC(=O)C	[2H]CC(=O)CC	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i2D	ZWEHNKRNPOVVGH-VMNATFBRSA-N	1-deuteriobutan-2-one	1-deuteriobutan-2-one
2-butanone	2-but	16213377	77.14	CCC(=O)C	[2H]C([2H])([2H])C(=O)C([2H])([2H])C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i2D3,3D2	ZWEHNKRNPOVVGH-PDWRLMEDSA-N	1,1,1,3,3-pentadeuteriobutan-2-one	2-butanone-1,1,1,3,3-d5
2-butanone	2-but	58066902	74.12	CCC(=O)C	[2H]C([2H])(C)C(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i3D2	ZWEHNKRNPOVVGH-SMZGMGDZSA-N	3,3-dideuteriobutan-2-one	3,3-dideuteriobutan-2-one
2-butanone	2-but	58311935	74.11	CCC(=O)C	[3H]CC(=O)CC	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i2T	ZWEHNKRNPOVVGH-FUPOQFPWSA-N	1-tritiobutan-2-one	1-tritiobutan-2-one
2-butanone	2-but	59880288	74.11	CCC(=O)C	[3H]C(C)C(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i3T	ZWEHNKRNPOVVGH-WJULDGBESA-N	3-tritiobutan-2-one	3-tritiobutan-2-one
2-butanone	2-but	90472171	80.15	CCC(=O)C	[2H]C([2H])([2H])C(=O)C([2H])([2H])C([2H])([2H])[2H]	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i1D3,2D3,3D2	ZWEHNKRNPOVVGH-AUOAYUKBSA-N	1,1,1,3,3,4,4,4-octadeuteriobutan-2-one	350820-09-6
2-butanone	2-but	101233907	73.11	CCC(=O)C	[2H]CCC(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i1D	ZWEHNKRNPOVVGH-MICDWDOJSA-N	4-deuteriobutan-2-one	4-deuteriobutan-2-one
2-butanone	2-but	153468497	74.12	CCC(=O)C	[2H]C([2H])C(=O)CC	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i2D2	ZWEHNKRNPOVVGH-CBTSVUPCSA-N	1,1-dideuteriobutan-2-one	1,1-dideuteriobutan-2-one
2-butanone	2-but	157723614	74.11	CCC(=O)C	[3H]CCC(=O)C	InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3/i1T	ZWEHNKRNPOVVGH-CNRUNOGKSA-N	4-tritiobutan-2-one	4-tritiobutan-2-one
2-heptanone	2h	8051	114.19	CCCCCC(=O)C	CCCCCC(=O)C	InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3	CATSNJVOTSVZJV-UHFFFAOYSA-N	heptan-2-one	2-heptanone
2-heptanone	2h	102602164	119.22	CCCCCC(=O)C	[2H]C([2H])([2H])C(=O)C([2H])([2H])CCCC	InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3/i2D3,6D2	CATSNJVOTSVZJV-QKLSXCJMSA-N	1,1,1,3,3-pentadeuterioheptan-2-one	2-heptanone-1,1,1,3,3-d5
2-heptanone	2h	124082676	116.19	CCCCCC(=O)C	[3H]CCCCCC(=O)C	InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3/i1T	CATSNJVOTSVZJV-CNRUNOGKSA-N	7-tritioheptan-2-one	schembl18251446
hexanal	6al	6184	100.16	CCCCCC=O	CCCCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3	JARKCYVAAOWBJS-UHFFFAOYSA-N	hexanal	hexanal
hexanal	6al	10464313	106.20	CCCCCC=O	[2H]CC([2H])CC([2H])([2H])C([2H])([2H])C=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i1D,2D,4D2,5D2	JARKCYVAAOWBJS-PZZTWVFFSA-N	2,2,3,3,5,6-hexadeuteriohexanal	2,2,3,3,5,6-hexadeuteriohexanal
hexanal	6al	10630451	104.18	CCCCCC=O	[2H]C([2H])C([2H])([2H])CCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i1D2,2D2	JARKCYVAAOWBJS-LNLMKGTHSA-N	5,5,6,6-tetradeuteriohexanal	5,5,6,6-tetradeuteriohexanal
hexanal	6al	10887845	104.18	CCCCCC=O	[2H]C(C=O)C([2H])C([2H])([2H])CC	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i3D2,4D,5D	JARKCYVAAOWBJS-CIDOUIPQSA-N	2,3,4,4-tetradeuteriohexanal	2,3,4,4-tetradeuteriohexanal
hexanal	6al	11115998	102.17	CCCCCC=O	[2H]CC([2H])CCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i1D,2D	JARKCYVAAOWBJS-QDNHWIQGSA-N	5,6-dideuteriohexanal	5,6-dideuteriohexanal
hexanal	6al	12207194	101.16	CCCCCC=O	[2H]C(=O)CCCCC	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i6D	JARKCYVAAOWBJS-RAMDWTOOSA-N	1-deuteriohexan-1-one	1-deuterohexanal
hexanal	6al	18652427	101.16	CCCCCC=O	[2H]C(CCCC)C=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i5D	JARKCYVAAOWBJS-UICOGKGYSA-N	2-deuteriohexanal	hexanal-d
hexanal	6al	46844232	103.18	CCCCCC=O	[H][C@@]([2H])(CCC([2H])C[2H])C=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i1D,2D,5D/t2?,5-/m1/s1	JARKCYVAAOWBJS-DBSIKJIBSA-N	(2R)-2,5,6-trideuteriohexanal	(2R)-2,5,6-trideuteriohexanal
hexanal	6al	71317235	112.23	CCCCCC=O	[2H]C(=O)C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])[2H]	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i1D3,2D2,3D2,4D2,5D2,6D	JARKCYVAAOWBJS-PSDCQUMKSA-N	1,2,2,3,3,4,4,5,5,6,6,6-dodecadeuteriohexan-1-one	hexanal-d12
hexanal	6al	101030891	103.18	CCCCCC=O	[2H]C([2H])([2H])CCCCC=O	InChI=1S/C6H12O/c1-2-3-4-5-6-7/h6H,2-5H2,1H3/i1D3	JARKCYVAAOWBJS-FIBGUPNXSA-N	6,6,6-trideuteriohexanal	6,6,6-trideuteriohexanal
